,2MASS,id,tmag,MASS,RAD,ROT,Activity Flag,Binary Flag
593,20510974-2458174,29257288,11.8478002548218,0.239,0.258,,1,0
594,20523304-1658289,262016943,8.75883960723877,0.231,0.25,,0,0
595,21005492-4131438,114985772,11.108699798584,0.232,0.251,,1,0
596,21010380-4114331,114953216,11.667200088501,0.201,0.222,,1,0
597,21111366-2248173,99499229,11.7821998596191,0.181,0.203,,1,0
598,21375317-0337514,269194685,11.8684997558594,0.212,0.232,,0,0
599,21464549-2117468,25200252,10.9549999237061,0.222,0.242,,1,0
600,21471744-0444406,24352777,11.2097997665405,0.159,0.182,,0,0
601,21554835-3313151,152273444,10.2159996032715,0.261,0.279,,0,0
602,22430195-2007182,444153368,11.3102998733521,0.262,0.28,,1,0
603,22450754-3251520,206605822,11.9401998519897,0.18,0.202,,1,0
604,23115777-1701588,5727213,11.1490001678467,0.234,0.253,,1,0
605,23312501-1615573,434100291,10.5356998443604,0.24,0.259,,0,0
606,23314763-0625502,49737073,11.6211996078491,0.178,0.2,,0,0
607,23532520-7056410,238176832,10.3235998153687,0.23,0.249,,1,0
608,23555512-1321238,441051650,10.8205995559692,0.262,0.28,,1,0
609,22480446-2422075,47423224,9.78166007995605,0.19,0.211,0.466,1,0
